Feature,Importance
PageValues_Log,0.1371949442179815
PageValues_ExitRates,0.10373468250132084
PageValues,0.09836782149658221
ExitRates,0.03404066300938116
PageValues_BounceRates,0.031579763688622406
Total_Duration,0.029722094761054082
ProductRelated_Duration,0.02836627087434845
ProductRelated_Duration_Log,0.028189528851796396
Total_Pages,0.026865468723915598
Bounce_Exit_Diff,0.02606673275485111
ProductRelated,0.02574966398875479
Avg_Time_Per_Page,0.025461240640497807
Product_Duration_Per_Page,0.024080892369386014
BounceRates,0.02319549171105745
PageValues_Binned_Medium,0.02126644624915839
Admin_Product_Ratio,0.02084793873248857
Administrative_Duration_Log,0.02007659903567481
Administrative_Duration,0.01875932696452476
Admin_Duration_Per_Page,0.01852963266018772
Admin_Info_Ratio,0.015993198215499653
Administrative,0.015942712110411907
PageValues_Binned_High,0.013963748205774715
Month_Num,0.01142027839430614
Info_Product_Ratio,0.00984015799344269
Informational_Duration,0.00882729522147526
Informational_Duration_Log,0.008719010110860159
Info_Duration_Per_Page,0.008599483573868237
ProductRelated_Weekend,0.008553811218790935
Month_Nov,0.008037602855385469
Season_Fall,0.007585101545605254
PageValues_Binned_Low,0.0071438778978123165
Informational,0.006284565317775226
Region_1,0.004876590779630163
TrafficType_2,0.004532473163487847
Holiday_Season,0.004361389585888997
Browser_2,0.004152595015660499
Is_Returning_Visitor,0.003911796955921859
OperatingSystems_2,0.0037559039713352376
Region_3,0.0036938800865950754
OperatingSystems_1,0.0033119261145340357
Season_Spring,0.003261855716065209
Month_May,0.0031660095304478194
PageValues_Binned_Very High,0.0031441030014235827
Weekend_0,0.003081193956994029
TrafficType_1,0.0030418494961206213
Browser_1,0.002976711687166537
ProductRelated_Binned_Low,0.0029144295052173073
Weekend_1,0.0028731718277142885
VisitorType_New_Visitor,0.0028200798899725935
OperatingSystems_3,0.0028084762845490122
Region_2,0.002693528711468332
VisitorType_Returning_Visitor,0.002640615511796561
Is_New_Visitor,0.002538953853271964
ProductRelated_Binned_Medium,0.0024805175671304843
TrafficType_3,0.0024553117599559436
Browser_4,0.0023795695461421183
ProductRelated_Binned_High,0.002315781620502924
Region_6,0.002140004289055591
TrafficType_4,0.002122052702860459
Region_4,0.0021035607269123866
Month_Dec,0.0020886607870833807
Season_Summer,0.002031844808126457
TrafficType_8,0.001997191086810759
Season_Winter,0.0019806934026477246
Region_7,0.0018058511595867965
TrafficType_10,0.0016825167139981857
Month_Sep,0.0016755339657981358
Region_9,0.001672321216223133
ProductRelated_Binned_Very Low,0.0016308838257482465
ProductRelated_Binned_Very High,0.0016070878034863522
Month_Mar,0.0015929344011215917
Month_Jul,0.001501556129759897
TrafficType_13,0.0013645232288197898
Month_Oct,0.0013162404714182462
TrafficType_11,0.0013128004007760643
Region_8,0.0012776636038033576
SpecialDay,0.0012717710606019715
TrafficType_5,0.0012572373976061982
OperatingSystems_4,0.0011599360171895955
Browser_5,0.0011090404099429172
Month_Aug,0.0010906291994317464
TrafficType_6,0.0010719028787466334
Region_5,0.0009534989091743111
Browser_10,0.0008725354156494063
TrafficType_20,0.0007434852092588163
Browser_6,0.0007315557558392921
Browser_8,0.0005249400590920008
Browser_12,0.0004587854610013549
OperatingSystems_8,0.0004569027565587947
Month_June,0.00043041229744305464
Browser_3,0.0002771989302798659
TrafficType_7,0.0002624863826796407
Browser_7,0.00024652183528384814
Is_Other_Visitor,0.00022511769576870818
VisitorType_Other,0.00017134043335276372
OperatingSystems_7,0.0001498535330016539
OperatingSystems_6,0.00012462058834407006
Weekend_SpecialDay,0.0001100376577890599
Browser_13,5.874443903134426e-05
TrafficType_14,4.506275325825964e-05
Month_Feb,3.2333551894040854e-05
Browser_11,1.947903129588201e-05
TrafficType_9,1.9042974986465683e-05
OperatingSystems_5,1.6918707957651334e-05
TrafficType_15,9.926901919062038e-06
Browser_9,0.0
TrafficType_19,0.0
TrafficType_12,0.0
TrafficType_16,0.0
TrafficType_17,0.0
TrafficType_18,0.0
